Bowl Name,Tier,Ownership,Avg Viewers,Avg Attendance
68 Ventures Bowl,3,1,1221667,20340
Alamo Bowl,1,1,5570000,60958
Arizona Bowl,3,1,754333,32732
Armed Forces Bowl,2,2,2426667,41819
Bahamas Bowl,3,1,981000,8391
Birmingham Bowl,2,2,3113333,23255
Boca Raton Bowl,3,2,1260000,20667
Camellia Bowl,3,2,1560000,13316
Cheez-It Bowl,1,1,2916667,23775
Citrus Bowl,1,1,5065000,43326
Cure Bowl,3,2,1456000,11183
Duke's Mayo Bowl,1,1,3300000,37360
Famous Idaho Potato Bowl,3,2,1193333,10883
Fenway Bowl,3,2,1843333,20313
First Responder Bowl,3,2,2233333,21870
Frisco Bowl,3,2,1072667,11816
Game Above Sports Bowl,2,1,2370000,25909
Gasparilla Bowl,2,2,2556667,35374
Gator Bowl,1,1,4600000,53758
Hawaii Bowl,3,2,1333333,6805
Holiday Bowl,2,1,3470000,31826
Independence Bowl,2,1,1523333,30255
LA Bowl,2,2,2086667,29868
Las Vegas Bowl,2,2,2756667,25773
Liberty Bowl,1,1,3906667,46467
Military Bowl,2,2,1768667,25935
Music City Bowl,1,1,2816667,45258
Myrtle Beach Bowl,3,2,962667,9415
New Mexico Bowl,3,2,1368333,25268
New Orleans Bowl,3,2,1014333,13697
Pinstripe Bowl,1,2,3313333,32169
Pop-Tart Bowl,1,1,5500000,43760
Rate Bowl,3,2,2916667,23775
Reliaquest Bowl,1,1,3395000,33611
Sun Bowl,2,1,3010000,44664
Texas Bowl,1,2,2840000,54232
Xbox Bowl,3,2,,